"Survey","Number","substrate","Reltolow","SITE"
325,155,"rock",0,"Eagle I. N. - SSEAK"
326,202,"ice",0,"Eagle I. N. - SSEAK"
327,193,"rock",1,"Eagle I. N. - SSEAK"
328,40,"rock",0,"East I."
329,23,"rock",0,"East I."
330,20,"rock",4,"East I."
331,26,"rock",2.9,"East I. Area"
332,4,"rock",1.2,"E S. Arm Moira"
333,0,"rock",0.7,"E S. Arm Moira"
334,0,"rock",0,"E S. Arm Moira"
335,160,"rock",0,"E S. Arm Moira"
336,17,"rock",1,"E Vixen - SSEAK"
337,0,"rock",3.9,"E Vixen - SSEAK"
338,25,"rock",0,"E Vixen - SSEAK"
339,19,"rock",0.4,"E Vixen - SSEAK"
340,8,"rock",0.2,"E Vixen - SSEAK"
341,218,"rock",0,"Echo I. off S. end"
342,0,"rock",5.6,"Echo I. off S. end"
343,165,"ice",0,"Echo I. off S. end"
344,408,"ice",0,"Echo I. off S. end"
345,57,"rock",9.8,"Echo I. off S. end"
346,19,"rock",4.5,"Egg Harbor"
347,30,"rock",0,"Egg Harbor"
348,22,"rock",0.8,"Egg Harbor"
349,13,"rock",0,"Egg Harbor"
350,40,"rock",4.2,"Egg Harbor"
351,27,"rock",0,"Egg I. - SSEAK"
352,47,"rock",0,"Egg I. - SSEAK"
353,47,"rock",0,"Egg I. - SSEAK"
354,46,"rock",7.4,"Egg I. - SSEAK"
355,74,"rock",3,"Egg I. - SSEAK"
356,70,"rock",0,"Emerald I."
357,225,"ice",0,"Emerald I."
358,233,"ice",0,"Emerald I."
359,4,"rock",1.7,"Entrance I. - SSEAK"
360,0,"rock",0.1,"Entrance I. - SSEAK"
361,1,"rock",0,"Entrance I. - SSEAK"
362,7,"rock",3.4,"Eye Opener"
363,5,"rock",1.3,"Eye Opener"
364,10,"rock",1.8,"Farragut Bay-E. Bay"
365,3,"rock",11.6,"Farragut Bay-E. Bay"
366,71,"rock",2.2,"Farragut Bay-E. Bay"
367,8,"rock",0,"Farragut Bay-E. Bay"
368,39,"rock",0,"Farragut Bay-E. Bay"
369,76,"sand",1,"Farragut Bay-Francis Anchorage"
370,0,"sand",0,"Farragut Bay-Francis Anchorage"
371,0,"sand",0,"Farragut Bay-Francis Anchorage"
372,80,"sand",2.4,"Farragut Bay-Francis Anchorage"
373,76,"sand",1.4,"Farragut Bay-Francis Anchorage"
374,0,"sand",0,"Farragut Bay-Francis Anchorage"
375,60,"sand",0.4,"Farragut Bay-Francis Anchorage"
376,125,"rock",3.9,"Farragut Bay-NE Read I."
377,0,"rock",0.2,"Farragut Bay-NE Read I."
378,0,"rock",3.9,"Farragut Bay-NE Read I."
379,0,"rock",2.1,"Farragut Bay-NE Read I."
380,0,"rock",0.2,"Farragut Bay-NE Read I."
381,0,"rock",0,"Farragut Bay-NE Read I."
382,0,"rock",6,"Farragut Bay-NE Read I."
383,116,"rock",0,"Farragut Bay-W. Bay"
384,39,"rock",0.2,"Farragut Bay-W. Bay"
385,80,"rock",5,"Farragut Bay-W. Bay"
386,104,"ice",0,"Farragut Bay-W. Bay"
387,148,"rock",0,"Farragut Bay-W. Bay"
388,142,"rock",0,"Farragut Bay-W. Bay"
389,135,"rock",3.3,"Farragut Bay-W. Bay"
390,47,"rock",0,"Fillmore Inlet"
391,24,"rock",0,"Fillmore Inlet"
392,33,"rock",0,"Fire Pt."
393,12,"rock",7.2,"Fire Pt."
394,20,"rock",1.4,"Fleece Rock"
395,5,"rock",2.4,"Fleece Rock"
396,15,"rock",0,"Foul Bay - SSEAK"
397,16,"rock",0,"Foul Bay - SSEAK"
398,0,"rock",4.8,"Foul Bay - SSEAK"
399,0,"rock",0,"Foul Bay - SSEAK"
400,27,"rock",1.4,"Fripo I."
